gene_idx,GeneID,GeneSymbol
933,9641,IKBKE
934,965,CD58
935,9650,MTFR1
936,9653,HS2ST1
937,9670,IPO13
938,9686,VGLL4
939,9688,NUP93
940,9690,UBE3C
941,9695,EDEM1
942,9697,TRAM2
943,9702,CEP57
944,9703,KIAA0100
945,9709,HERPUD1
946,9710,KIAA0355
947,9712,USP6NL
948,9738,CCP110
949,976,ADGRE5
950,9761,MLEC
951,9797,TATDN2
952,9801,MRPL19
953,9805,SCRN1
954,9813,EFCAB14
955,9817,KEAP1
956,983,CDK1
957,9833,MELK
958,9842,PLEKHM1
959,9847,C2CD5
960,9851,KIAA0753
961,9854,C2CD2L
962,9868,TOMM70
963,9897,WASHC5
964,9903,KLHL21
965,991,CDC20
966,9915,ARNT2
967,9917,FAM20B
968,9918,NCAPD2
969,9924,PAN2
970,9926,LPGAT1
971,9928,KIF14
972,993,CDC25A
973,994,CDC25B
974,9943,OXSR1
975,9961,MVP
976,998,CDC42
977,9988,DMTF1
