adr_idx,adr_id,adr_name
390,C0027813,Neuritis
391,C0027822,Neurodermatitis
392,C0027830,Neurofibroma
393,C0027858,Neuroma
394,C0027947,Neutropenia
395,C0028077,Night blindness
396,C0028081,Night sweats
397,C0028259,Nodule
398,C0028734,Nocturia
399,C0028738,Nystagmus
400,C0028754,Obesity
401,C0028768,Obsessive-compulsive disorder
402,C0028778,Obstruction
403,C0028840,Ocular hypertension
404,C0029089,Ophthalmoplegia
405,C0029124,Optic atrophy
406,C0029134,Optic neuritis
407,C0029191,Orchitis
408,C0029408,Osteoarthritis
409,C0029434,Osteogenesis imperfecta
410,C0029442,Osteomalacia
411,C0029445,Osteonecrosis
412,C0029453,Osteopenia
413,C0029456,Osteoporosis
414,C0029878,Otitis externa
415,C0029927,Ovarian cyst
416,C0030193,Pain
417,C0030305,Pancreatitis
418,C0030312,Pancytopenia
419,C0030318,Panic reaction
420,C0030319,Panic disorder
421,C0030354,Papilloma
422,C0030446,Ileus paralytic
423,C0030486,Paraplegia
424,C0030508,Parasomnia
425,C0030517,Parathyroid disorder
426,C0030578,Paronychia
427,C0030583,Parotitis
428,C0030920,Peptic ulcer
429,C0031039,Pericardial effusion
430,C0031046,Pericarditis
431,C0031048,Pericarditis constrictive
432,C0031154,Peritonitis
433,C0031157,Peritonsillar abscess
434,C0031190,Persistent foetal circulation
435,C0031212,Personality disorder
436,C0031256,Petechiae
437,C0031350,Pharyngitis
438,C0032019,Pituitary tumour
439,C0032227,Pleural effusion
440,C0032231,Pleurisy
441,C0032285,Pneumonia
442,C0032290,Pneumonia aspiration
443,C0032300,Lobar pneumonia
444,C0032343,Poisoning
445,C0032708,Porphyrin metabolism disorder
446,C0032987,Ectopic pregnancy
447,C0033038,Premature ejaculation
448,C0033575,Prostatic disorder
449,C0033578,Neoplasm prostate
450,C0033581,Prostatitis
451,C0033687,Proteinuria
452,C0033771,Prurigo
453,C0033777,Pruritus genital
454,C0033860,Psoriasis
455,C0033949,Male orgasmic disorder
456,C0033975,Psychotic disorder
457,C0034011,Puberty
458,C0034013,Precocious puberty
459,C0034065,Pulmonary embolism
460,C0034067,Emphysema
461,C0034069,Pulmonary fibrosis
462,C0034072,Cor pulmonale
463,C0034103,Pulpitis dental
464,C0034124,Pupillary disorder
465,C0034212,Pyoderma
466,C0034642,Rales
467,C0034880,Hyperacusis
468,C0034933,Reflexes abnormal
469,C0034951,Refraction disorder
470,C0035021,Relapsing fever
471,C0035078,Renal failure
472,C0035085,Renal infarct
473,C0035127,Repetitive strain injury
474,C0035232,Respiratory paralysis
475,C0035243,Respiratory tract infection
476,C0035304,Retinal degeneration
477,C0035305,Retinal detachment
478,C0035309,Retinal disorder
479,C0035321,Retinal tear
480,C0035410,Rhabdomyolysis
481,C0035455,Rhinitis
482,C0035522,Rib fracture
483,C0035579,Rickets
484,C0036093,Salivary gland disorder
485,C0036341,Schizophrenia
486,C0036502,Sebaceous gland disorder
487,C0036508,Seborrhoeic dermatitis
488,C0036572,Convulsion
489,C0036689,Pharyngitis streptococcal
490,C0036749,Serositis
491,C0036830,Serum sickness
492,C0036983,Septic shock
493,C0037199,Sinusitis
494,C0037268,Congenital skin disorder
495,C0037274,Skin disorder
496,C0037278,Skin infection
497,C0037284,Skin lesion
498,C0037286,Neoplasm skin
499,C0037299,Skin ulcer
500,C0037301,Skin wrinkling
501,C0037320,Sleep terror
502,C0037763,Muscle spasms
503,C0037822,Speech disorder
504,C0037926,Spinal cord compression
505,C0037997,Spleen disorder
506,C0038002,Splenomegaly
507,C0038218,Status asthmaticus
508,C0038220,Status epilepticus
509,C0038273,Stereotypy
510,C0038325,Stevens-Johnson syndrome
511,C0038353,Gastric dilatation
512,C0038354,Gastric disorder
513,C0038358,Gastric ulcer
514,C0038362,Stomatitis
515,C0038450,Stridor
516,C0038454,Cerebrovascular accident
517,C0038986,Sweat gland disorder
518,C0039231,Tachycardia
519,C0039446,Telangiectasia
520,C0039584,Testicular disorder
521,C0039614,Tetanus
522,C0039621,Tetany
523,C0039971,Thirst
524,C0040028,Essential thrombocythaemia
525,C0040034,Thrombocytopenia
526,C0040053,Thrombosis
527,C0040147,Thyroiditis
528,C0040252,Body tinea
529,C0040261,Onychomycosis
530,C0040264,Tinnitus
531,C0040409,Tongue disorder
532,C0040479,Torsade de pointes
533,C0040485,Torticollis
534,C0040822,Tremor
535,C0040953,Trichotillomania
536,C0041296,Tuberculosis
