DiseaseName_raw,DiseaseName_norm
Anterior Compartment Syndrome,anterior compartment syndrome
Anterior Cruciate Ligament Injuries,anterior cruciate ligament injuries
Anterior segment mesenchymal dysgenesis,anterior segment mesenchymal dysgenesis
Anthracosis,anthracosis
"Anti-plasmin deficiency, congenital",anti plasmin deficiency congenital
Antiphospholipid Syndrome,antiphospholipid syndrome
Antithrombin III Deficiency,antithrombin iii deficiency
Antley-Bixler Syndrome Phenotype,antley bixler syndrome phenotype
ANTLEY-BIXLER SYNDROME WITH GENITAL ANOMALIES AND DISORDERED STEROIDOGENESIS,antley bixler syndrome with genital anomalies and disordered steroidogenesis
ANTLEY-BIXLER SYNDROME WITHOUT GENITAL ANOMALIES OR DISORDERED STEROIDOGENESIS,antley bixler syndrome without genital anomalies or disordered steroidogenesis
"Anus, Imperforate",anus imperforate
Anus Neoplasms,anus neoplasms
Anxiety Disorders,anxiety disorders
"Anxiety, Separation",anxiety separation
"Aortic Aneurysm, Abdominal",aortic aneurysm abdominal
"AORTIC ANEURYSM, FAMILIAL THORACIC 10",aortic aneurysm familial thoracic 10
"AORTIC ANEURYSM, FAMILIAL THORACIC 11, SUSCEPTIBILITY TO",aortic aneurysm familial thoracic 11 susceptibility to
"Aortic aneurysm, familial thoracic 4",aortic aneurysm familial thoracic 4
"Aortic Aneurysm, Familial Thoracic 6",aortic aneurysm familial thoracic 6
"AORTIC ANEURYSM, FAMILIAL THORACIC 7",aortic aneurysm familial thoracic 7
"AORTIC ANEURYSM, FAMILIAL THORACIC 8",aortic aneurysm familial thoracic 8
"AORTIC ANEURYSM, FAMILIAL THORACIC 9",aortic aneurysm familial thoracic 9
"Aortic Aneurysm, Thoracic",aortic aneurysm thoracic
Aortic Diseases,aortic diseases
Aortic Dissection,aortic dissection
Aortic Rupture,aortic rupture
"Aortic Stenosis, Subvalvular",aortic stenosis subvalvular
"Aortic Stenosis, Supravalvular",aortic stenosis supravalvular
"Aortic Valve, Calcification of",aortic valve calcification of
AORTIC VALVE DISEASE 1,aortic valve disease 1
AORTIC VALVE DISEASE 2,aortic valve disease 2
Aortic Valve Insufficiency,aortic valve insufficiency
"Aphakia, congenital primary",aphakia congenital primary
Aplasia of Lacrimal and Salivary Glands,aplasia of lacrimal and salivary glands
Apnea,apnea
Apolipoprotein C-III Deficiency,apolipoprotein c iii deficiency
Apraxias,apraxias
Arachnodactyly,arachnodactyly
ARBOLEDA-THAM SYNDROME,arboleda tham syndrome
Arenaviridae Infections,arenaviridae infections
Arginine-Glycine Amidinotransferase Deficiency,arginine glycine amidinotransferase deficiency
Argininosuccinic Aciduria,argininosuccinic aciduria
"Arhinia, choanal atresia, and microphthalmia",arhinia choanal atresia and microphthalmia
Armfield X-Linked Mental Retardation Syndrome,armfield x linked mental retardation syndrome
Arnold-Chiari Malformation,arnold chiari malformation
Aromatase deficiency,aromatase deficiency
Aromatic amino acid decarboxylase deficiency,aromatic amino acid decarboxylase deficiency
"Arrhythmias, Cardiac",arrhythmias cardiac
"Arrhythmogenic Right Ventricular Dysplasia, Familial, 1",arrhythmogenic right ventricular dysplasia familial 1
"Arrhythmogenic Right Ventricular Dysplasia, Familial, 10",arrhythmogenic right ventricular dysplasia familial 10
"Arrhythmogenic Right Ventricular Dysplasia, Familial, 11",arrhythmogenic right ventricular dysplasia familial 11
"Arrhythmogenic Right Ventricular Dysplasia, Familial, 12",arrhythmogenic right ventricular dysplasia familial 12
"ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA, FAMILIAL, 13",arrhythmogenic right ventricular dysplasia familial 13
"Arrhythmogenic Right Ventricular Dysplasia, Familial, 5",arrhythmogenic right ventricular dysplasia familial 5
"Arrhythmogenic Right Ventricular Dysplasia, Familial, 8",arrhythmogenic right ventricular dysplasia familial 8
"Arrhythmogenic Right Ventricular Dysplasia, Familial, 9",arrhythmogenic right ventricular dysplasia familial 9
Arsenic Poisoning,arsenic poisoning
Arterial calcification of infancy,arterial calcification of infancy
"Arterial Occlusive Disease, Progressive, with Hypertension, Heart Defects, Bone Fragility, and Brachysyndactyly",arterial occlusive disease progressive with hypertension heart defects bone fragility and brachysyndactyly
Arterial Occlusive Diseases,arterial occlusive diseases
Arterial Tortuosity Syndrome,arterial tortuosity syndrome
Arteriovenous Malformations,arteriovenous malformations
"Arthritis, Experimental",arthritis experimental
"Arthritis, Gouty",arthritis gouty
"Arthritis, Infectious",arthritis infectious
"Arthritis, Juvenile",arthritis juvenile
"Arthritis, Psoriatic",arthritis psoriatic
"Arthritis, Rheumatoid",arthritis rheumatoid
Arthrogryposis,arthrogryposis
"ARTHROGRYPOSIS, DISTAL, TYPE 1A",arthrogryposis distal type 1a
"ARTHROGRYPOSIS, DISTAL, TYPE 1B",arthrogryposis distal type 1b
"ARTHROGRYPOSIS, DISTAL, TYPE 3",arthrogryposis distal type 3
"ARTHROGRYPOSIS, DISTAL, TYPE 5",arthrogryposis distal type 5
"ARTHROGRYPOSIS, DISTAL, TYPE 5D",arthrogryposis distal type 5d
"ARTHROGRYPOSIS, DISTAL, WITH IMPAIRED PROPRIOCEPTION AND TOUCH",arthrogryposis distal with impaired proprioception and touch
"ARTHROGRYPOSIS, IMPAIRED INTELLECTUAL DEVELOPMENT, AND SEIZURES",arthrogryposis impaired intellectual development and seizures
"ARTHROGRYPOSIS MULTIPLEX CONGENITA 1, NEUROGENIC, WITH MYELIN DEFECT",arthrogryposis multiplex congenita 1 neurogenic with myelin defect
"Arthrogryposis multiplex congenita, distal, X-linked",arthrogryposis multiplex congenita distal x linked
