adr_idx,adr_id,adr_name
386,C0014752,Erythrasma
387,C0014804,Erythromelalgia
388,C0014848,Oesophageal achalasia
389,C0014850,Oesophageal atresia
390,C0014852,Oesophageal disorder
391,C0014858,Oesophageal motility disorder
392,C0014860,Oesophageal perforation
393,C0014863,Oesophageal spasm
394,C0014866,Oesophageal stenosis
395,C0014867,Varices oesophageal
396,C0014868,Oesophagitis
397,C0015230,Rash
398,C0015256,Excoriation
399,C0015300,Exophthalmos
400,C0015371,Extrapyramidal disorder
401,C0015376,Extravasation
402,C0015393,Congenital eye disorder
403,C0015395,Eye burns
404,C0015397,Eye disorder
405,C0015401,Foreign body in eye
406,C0015402,Eye haemorrhage
407,C0015403,Eye infection
408,C0015407,Eye infection viral
409,C0015409,Eye penetration
410,C0015423,Eyelid disorder
411,C0015459,Face injury
412,C0015468,Facial pain
413,C0015523,Factor XI deficiency
414,C0015544,Failure to thrive
415,C0015624,Fanconi syndrome
416,C0015663,Fasting
417,C0015668,Fat necrosis
418,C0015672,Fatigue
419,C0015674,Chronic fatigue syndrome
420,C0015726,Fear
421,C0015732,Faecal incontinence
422,C0015734,Faecalith
423,C0015786,Female sexual arousal disorder
424,C0015802,Femur fracture
425,C0015806,Femoral neck fracture
426,C0015927,Foetal death
427,C0015929,Foetal disorder
428,C0015930,Foetal distress syndrome
429,C0015934,Microsomia
430,C0015967,Body temperature increased
431,C0016034,Fibrocystic breast disease
432,C0016053,Fibromyalgia
433,C0016059,Fibrosis
434,C0016167,Anal fissure
435,C0016169,Fistula
436,C0016199,Flank pain
437,C0016204,Flatulence
438,C0016242,Vitreous floaters
439,C0016325,Fluorosis
440,C0016382,Flushing
441,C0016385,Cardiac flutter
442,C0016397,Localised infection
443,C0016412,Folate deficiency
444,C0016436,Folliculitis
445,C0016470,Food allergy
446,C0016479,Food poisoning
447,C0016508,Congenital foot malformation
448,C0016514,Foot and mouth disease
449,C0016579,Formication
450,C0016655,Multiple fractures
451,C0016658,Fracture
452,C0016689,Ephelides
453,C0016751,Fructose intolerance
454,C0016977,Gallbladder disorder
455,C0017086,Gangrene
456,C0017105,Gas gangrene
457,C0017152,Gastritis
458,C0017160,Gastroenteritis
459,C0017168,Gastrooesophageal reflux disease
460,C0017178,Gastrointestinal disorder
461,C0017181,Gastrointestinal haemorrhage
462,C0017411,Genital disorder female
463,C0017551,Gilbert's syndrome
464,C0017563,Gingival disorder
465,C0017565,Gingival bleeding
466,C0017566,Gingival hyperplasia
467,C0017567,Gingival hypertrophy
468,C0017572,Gingival recession
469,C0017574,Gingivitis
470,C0017601,Glaucoma
471,C0017605,Angle closure glaucoma
472,C0017636,Glioblastoma
473,C0017658,Glomerulonephritis
474,C0017665,Glomerulonephritis membranous
475,C0017668,Focal segmental glomerulosclerosis
476,C0017672,Glossodynia
477,C0017675,Glossitis
478,C0017677,Tongue geographic
479,C0017979,Glycosuria
480,C0018021,Goitre
481,C0018099,Gout
482,C0018129,Transplant rejection
483,C0018133,Graft versus host disease
484,C0018188,Granuloma
485,C0018213,Basedow's disease
486,C0018378,Guillain-Barre syndrome
487,C0018418,Gynaecomastia
488,C0018500,Hair disorder
489,C0018520,Breath odour
490,C0018524,Hallucination
491,C0018552,Hamartoma
492,C0018621,Seasonal allergy
493,C0018674,Head injury
494,C0018681,Headache
495,C0018784,Deafness neurosensory
496,C0018790,Cardiac arrest
497,C0018799,Cardiac disorder
498,C0018800,Cardiomegaly
499,C0018801,Cardiac failure
500,C0018802,Cardiac failure congestive
501,C0018808,Cardiac murmur
502,C0018811,Foetal heart rate
503,C0018813,Myocardial rupture
504,C0018817,Atrial septal defect
505,C0018818,Ventricular septal defect
506,C0018824,Cardiac valve disease
507,C0018839,Heat exhaustion
508,C0018843,Heat stroke
509,C0018916,Haemangioma
510,C0018924,Haemarthrosis
511,C0018926,Haematemesis
512,C0018932,Haematochezia
513,C0018939,Blood disorder
514,C0018944,Haematoma
515,C0018946,Subdural haematoma
516,C0018965,Haematuria
517,C0018975,Blindness day
518,C0018979,Hemianopia
519,C0018989,Hemiparesis
520,C0018991,Hemiplegia
521,C0018995,Haemochromatosis
522,C0019048,Haemoglobinuria
523,C0019054,Haemolysis
524,C0019061,Haemolytic uraemic syndrome
525,C0019064,Pericardial haemorrhage
526,C0019065,Peritoneal haemorrhage
527,C0019079,Haemoptysis
528,C0019080,Haemorrhage
529,C0019087,Haemorrhagic disorder
